,locname,Lat,Lng,name,ID,Location,Se Vende Maruchan, Se vende Guarana,¿Cuántos skus Guarana hay en anaquel?,¿Hay Guarana LATA 350ml ORIGINAL en anaquel?,¿Cual es el precio Guarana LATA 350ml Original?,¿Hay Guarana LATA 350ml ZERO en anaquel?,¿Hay Guarana PET 2L ORIGINAL en anaquel?,¿Hay Guarana PET 2L ZERO en anaquel?,¿Hay degustaciones de Guarana en la tienda est,¿Hay promocion de Guarana en la tienda esta se,	¿Se vende agua de coco?	¿Se vende chocolate?,¿Se vende veggie chips?,Veggie chips a la venta
2564867,"Santa Maria. Arevalo y versalles, Quito",-0.2006290,-78.499209,Alejandro Vargas,Si,1,Si,1.31,No,No,No,No,No,Tastings 2 weeks ago,Si,1 Item,Si,4 Items,Si
2564619,Oki Doki 12 Octubre,-0.2082859,-78.490626,Alejandro Vargas,Oki Doki 12 Octubre,No,Si,2 Items,Si,2 Items,0.5,0.5,1.55,0.49,,,,,
2564495,Supermaxi Salinas 01 - Floresta R1,-0.2071099,-78.487117,Alejandro Vargas,Si,1,1,0.99,0.52,No,No,Si,1,Si,1.32,No,No,No,No
2564323,Tia Michelena,-0.2507630,-78.537041,Alejandro Vargas,Tia Michelena,No,Si,2 Items,Si,2 Items,1.19,1.19,0.99,0.99,,,,,
2564187,Supermaxi CC Atahualpa,-0.2505375,-78.537277,Alejandro Vargas,Supermaxi CC Atahualpa,Si,1,1,0.99,0.58,No,No,Si,1 Item,Si,4 Items,Si,1 Item,1.7
2564122,Fybeca CC Atlahuaya,-0.2505137,-78.537561,Alejandro Vargas,Fybeca CC Atlahuaya,No,No,No,,,,,,,,,,,
2561435,Fybeca Orellana,-2.1668769,-79.895989,Alejandro Vargas,Fybeca Orellana,No,Si,2 Items,Si,2 Items,5.1,2.94,0.5,1.23,,,,,
2561403,Gran aki astilleros,-2.2073989,-79.886053,Alejandro Vargas,Gran aki astilleros,Low dem B-,Si,1,Si,1.32,No,No,No,No,No,Tambien en refrigerador,Si,1 Item,Si
2561299,Fybeca Alba,-2.1687708,-79.915937,Alejandro Vargas,Fybeca Alba,No,Si,1 Item,No,5.04,,,,,,,,,
2561291,Supermaxi Alban Roja,-2.1693378,-79.916312,Alejandro Vargas,Supermaxi Alban Roja,Si,2,0,0.99,0.0,No,No,Si,2,Si,1.32,Si,1.33,No
2561088,Hiper Mi Comisariato Aban,-2.1706884,-79.917160,Alejandro Vargas,Hiper Mi Comisariato Aban,Si,3 Items,Si,4 Items,Si,2 Items,Guarana ordered,6.99,6.36,2.23,2.14,0.32,1.5,3.51
2560797,Mi Comisariato San Felipe,-2.1303932,-79.932154,Alejandro Vargas,Mi Comisariato San Felipe,No,Si,3 Items,Si,2 Items,1.74,1.74,2.36,0.37,2.21,,,,
2560666,Santa Maria Garzota,-2.1466872,-79.893579,Alejandro Vargas,Santa Maria Garzota,Si,11,Si,1.31,No,No,No,No,Si,1.38. -   1.31,No,Si,2 Items,Si
2560648,Farmacias Económicas Garzote,-2.1443333,-79.894037,Alejandro Vargas,No,Si,1 Item,No,0.49,,,,,,,,,,
2560600,Tia Garzota,-2.1439766,-79.893563,Alejandro Vargas,Tia Garzota,Si,1 Item,Si,2 Items,Si,2 Items,1.49,1.89,0.49,0.99,0.49,,,
2559635,Tia Ciudad Celeste,-2.0729243,-79.841945,Alejandro Vargas,Tia Ciudad Celeste,Si,1 Item,Si,2 Items,Si,2 Items,1.49,1.89,0.35,0.35,1.39,,,
2559573,Fybeca Guayaquil 03 - Via A Samborondon,-2.0723301,-79.872325,Alejandro Vargas,No,Si,1 Item,No,1.25,,,,,,,,,,
