,locname,Lat,Lng,name,Missing location,¿Cuántos skus IL hay en anaquel? ,¿Cuántos skus RS hay en anaquel? ,¿Hay IL GALLINA en anaquel? ,¿Hay RS GALLINA en anaquel? ,¿Cual es el precio de IL?,¿Cual es el precio de RS?,¿Todos los sabores IL tienen el mismo precio?,¿Todos los sabores RS tienen el mismo precio?,¿Hay degustaciones de Maruchan en la tienda esta semana? ,¿Hay promocion de Maruchan en la tienda esta semana? 
2568595,tambo los olivos,-11.980174,-77.084686,Elena Gabriel,6,Si,2.80,1.50,Si,Si,6,,,,
2568526,Tambo Naciones U - Ave. Naciones Unidas,-12.048842,-77.059409,Moises Monroy,5,2,2.80,1.50,Si,1 items,1,,,,
2568520,TAMBO HUAYLAS C14 ,-12.176312,-77.016897,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2568503,Tambo Marañon - Ave. Rio Marañon,-11.971795,"-77.07134,",Elena Gabriel,6,Si,2.80,1.50,Si,Si,1,,,,
2568454,TAMBO HUAYLAS C18 ,-12.179373,-77.014186,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2568449,Tambo Reyes - Ave. Reynaldo Saavedra,-12.054517,-77.067506,Moises Monroy,6,3,Si,2.80,1.50,Si,2 items,1,,,
2568306,Tambo Roma - Ave. Oscar R.,-12.049488,-77.072058,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2568270,Tambo UCV-Los Olivos - Ave. SAN BERNARDO,-11.953401,-77.069595,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2568229,Tambo Villa UPC - Ave. Alameda San,-12.197962,-77.009408,Luis Castro,6,1,Si,2.80,1.50,Si,1 items,1,,,
2568207,Plaza Vea Caminos del Inca - Ave. Caminos del Inca,-12.114313,-76.991026,Deivicson Lugo,10,1.10,,,,,,,,,
2568205,Metro Angélica Gamarra - Ave. Tomas Valle,-12.011091,-77.090362,Ruben Munoz,5,4,Si,Si,2.70,1.40,Si,Si,1,,
2568153,Tambo Villasol - Ave. MENDIOLA MZA.,-11.958700,-77.069460,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,3,,,
2568138,Tambo Tingo Maria - Ave. Tingo Maria,-12.058322,-77.058077,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2568134,Tambo Alamdedasur C1 - Ave. ALAMEDA SUR,-12.190222,-77.006440,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2568079,TAMBO HUAYLAS C1 ,-12.187313,-77.007905,Luis Castro,5,Si,280,150,Si,Si,1,,,,
2568050,Tambo Universitaria c61,-11.963325,-77.072378,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,3,,,
2567978,Tambo Arica C5 - Ave. ARICA NRO. 533,-12.058876,-77.046325,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2567958,Tambo La Curva - Ave. GUARDIA CIVIL,-12.185011,-77.007281,Luis Castro,5,3,Si,280,150,Si,2 items,1,,,
2567920,Tambo Huandoy - Ave. Huandoy Mz,-11.959591,-77.076028,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,3,,,
2567868,Tambo Guzman Blanco - Jr. Guzmán Blanco,-12.061607,-77.040600,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2567843,Tambo G Civil - Ave. GUARDIA CIVIL,-12.174720,-76.993550,Luis Castro,6,2,Si,280,100,Si,Si,1,,,
2567796,Tambo El Sol Chorrillos - Ave. El sol,-12.177104,-76.997655,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2567701,Tambo 2 de Octubre,-11.948171,-77.080003,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2567614,TAMBO MATELLINI C4 ,-12.176351,-77.006783,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2567554,TAMBO PUMA C1 ,-12.176938,-77.011339,Luis Castro,5,2,Si,280,150,Si,1 items,1,,,
2567549,Tambo Civico-PRO - Jirón La Honradez,-11.936143,-77.074889,Elena Gabriel,5,2,Si,2.80,1.50,Si,2 items,2,,,
2567473,Tambo Republica C5 - Ave. PASEO DE,-12.063337,-77.033905,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2567456,tambo pro,-11.937651,"-77.07351,",Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,3,,,
2567440,Tambo Matellini - Ave. Matellini 153,-12.178671,-77.009794,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2567421,Tambo Grau C1 - Ave. Almirante Grau,-12.059599,-77.034837,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
