,locname,Lat,Lng,name,Missing location,¿Cuántos skus IL hay en anaquel? ,¿Cuántos skus RS hay en anaquel? ,¿Hay IL GALLINA en anaquel? ,¿Hay RS GALLINA en anaquel? ,¿Cual es el precio de IL?,¿Cual es el precio de RS?,¿Todos los sabores IL tienen el mismo precio?,¿Todos los sabores RS tienen el mismo precio?,¿Hay degustaciones de Maruchan en la tienda esta semana? ,¿Hay promocion de Maruchan en la tienda esta semana? 
2560512,Tambo Universitaria C70 - Ave. Universitaria 7091,-11.939318,-77.058621,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2560480,Tambo Risso ,-12.086267,-77.035409,Moises Monroy,5,1,Si,2.80,1.50,Si,Si,1,,,
2560433,Tambo Monterosa - Calle Monterosa 137,-12.110496,-76.993509,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2560424,TAMBO CHOSICA ,-11.937987,-76.697086,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2560389,Tambo Belaunde C9,-11.934552,"-77.05697,",Heidy Ovalles,5,2,Si,2.80,1.50,Si,1 items,1,,,
2560325,tambo m.bastidas,-11.928433,-77.056723,Heidy Ovalles,tambo m.bastidas,6,1,Si,2.80,1.50,Si,1 items,1,,
2560319,Tambo Revilla ,-12.090764,-77.028079,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2560223,tambo universitaria c106,-11.900523,-77.039325,Heidy Ovalles,tambo universitaria c106,6,1,Si,2.80,1.50,Si,1 items,1,,
2560169,Tambo Claveles - Ave. CARRETERA CENTRAL,-12.034754,-76.928978,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2560167,Tambo Zela - Ave. Juan Pardo,-12.082640,-77.027611,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2560134,Tambo Puruchuco - Ave. Javier Prado,"-12.04341,",-76.930183,Luis Castro,6,Si,280,150,Si,Si,1,,,,
2560108,Tambo Collique,-11.914324,-77.040319,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2559612,Wong Camacho - Ave. Javier Prado Este,-12.084969,-76.977412,Deivicson Lugo,6,5,Si,Si,2.70,1.40,Si,Si,1,,
2559556,Tambo Jardines C3 - Ave. JARDINES ESTE,-12.004288,-77.003661,Elena Gabriel,5,3,Si,5.80,1.50,Si,2 items,2,,,
2559496,Tambo Las Flores - Ave. Flores De,-12.007126,-77.011357,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2559460,Tambo Pershing C5 - Ave. Pershing N°,-12.089297,-77.058973,Luis Castro,6,3,Si,280,150,Si,2 items,1,,,
2559456,Tambo Proceres C18 - Ave. Próceres de,-12.001933,-77.007998,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,1,,,
2559362,Tambo Saenz Peña - Ave. Saenz Peña,-12.060155,-77.137195,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2559329,Tambo Flores C17 - Ave. Flores de,-11.999454,-77.014103,Moises Monroy,5,2,Si,2.80,1.00,Si,Si,1,,,
2559319,Tambo Bolivar - Ave. Bolívar 1402,-12.072014,-77.068931,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2559242,Metro Breña - Esq. Ave. Venezuela,-12.053834,-77.043208,Ruben Munoz,6,4,Si,Si,2.70,1.40,Si,Si,1,,
2559185,Tambo Canto Grande c24 ,-11.990151,-77.014936,Moises Monroy,6,3,Si,2.80,1.50,Si,2 items,1,,,
2559140,Tambo bolívar c11,-12.072579,-77.065946,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2559132,Tambo Colina - Ave. Colina 1050,-12.065633,-77.122131,Heidy Ovalles,5,3,Si,2.80,1.50,Si,1 items,1,,,
2559078,Tambo Canto Grande c28 - Ave. Canto Grande,-11.980783,-77.012412,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2559013,Tambo El Parque SJL - Ave. El parque,-11.980523,-77.000485,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2558994,Tambo Marina C2 - Ave. La Marina,-12.066534,-77.118209,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2558966,Tambo Bolivar3 - Calle Bolivar Nro 850,-12.072037,-77.060901,Luis Castro,5,3,Si,280,150,Si,2 items,1,,,
2558957,tambo periodista ,-11.975143,-77.009239,Moises Monroy,tambo periodista ,6,1,Si,2.80,1.50,Si,Si,1,,
2558930,Plaza Vea Villa El Salvador - Ave. Lima,-12.230963,-76.911095,Grecia Ormeño,0.00,1.10,,,,,,,,,
2558881,Plasa Vea México - Urb. San Pablo,-12.065130,-77.003666,Ruben Munoz,0,1.10,,,,,,,,,
2558839,Tambo Sucre - Ave. Sucre 1183,-12.082660,-77.066941,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2558813,Tambo U del Callao ,-12.062425,-77.116730,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2558810,Tambo El Sol C4 - Ave. El Sol 452,-11.985091,-77.005528,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,3,,,
2558793,Metro La Victoria - Ave. La Unión,-12.064270,-77.028671,Ruben Munoz,3,1,Si,Si,2.70,1.40,Si,Si,1,,
2558788,Tambo San Martin SJL - Ave. SAN MARTIN,-11.967342,-77.005823,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2558747,"Metro Plaza La Luna - Ave.Grau No 1460,",-12.075309,-77.026035,Ruben Munoz,4,1,Si,Si,2.70,1.40,Si,Si,1,,
2558718,Tambo Canto Grande - Mza. A Lote,-11.969392,-77.004878,Moises Monroy,5,2,Si,2.80,1.50,Si,1 items,1,,,
2558716,Tambo Marian C13 - Ave. LA MARINA,-12.079723,-77.076189,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2558675,Plaza Vea Villa El Salvador - Ave. Lima,-12.203428,-76.933191,Grecia Ormeño,0.0,1.10,,,,,,,,,
2558660,Tambo Valer - Jr. Juan Valer,-12.077256,-77.074599,Luis Castro,5,1,Si,280,150,Si,Si,1,,,
2558627,Metro Emancipación - Esq. Ave. Venezuela,-12.049576,-77.032007,Ruben Munoz,4,3,Si,Si,2.70,1.40,Si,Si,1,,
2558618,Tambo Colonial C 31,-12.055818,-77.109531,Heidy Ovalles,6,Si,2.80,1.50,Si,1 items,1,,,,
2558546,Metro Plaza Castilla - Plaza Ramón Castilla,-12.042559,-77.042533,Ruben Munoz,3,3,Si,2.70,1.10,Si,Si,1,,,
2558532,Tambo Jaliaga - Ave. Javier Prado,-12.093538,-77.058816,Luis Castro,4,2,Si,280,150,Si,1 items,1,,,
2558521,Tambo Mall Plaza ,-12.055066,-77.104714,Heidy Ovalles,5,1,Si,2.80,1.50,Si,1 items,1,,,
2558515,Tambo Wiesse - Lote 12 De,-11.974645,-77.000405,Moises Monroy,6,Si,2.80,1.50,Si,Si,1,,,,
2558508,TAMBO EL SOL-SJL,-11.983577,-77.009853,Elena Gabriel,TAMBO EL SOL-SJL,5,2,Si,2.80,1.50,Si,1 items,3,,
2558397,TAMBO STRIP FIBRA ,-12.093592,-77.057652,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2558385,tambo faucet c19,-12.057535,-77.097763,Heidy Ovalles,tambo faucet c19,6,1,Si,2.80,1.50,Si,1 items,1,,
2558374,Tambo DelCampo - Ave. ALBERTO DEL,-12.101376,-77.059886,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2558367,Tambo Proceres Sjl - Mza. F5 Lt,-11.964960,-76.990923,Moises Monroy,5,1,Si,2.80,1.50,Si,Si,1,,,
2558345,Tambo Basadre - Ave. Proceres de,-11.988987,-77.010862,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2558289,Tambo Colonial C45,-12.053152,-77.096160,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2558280,TAMBO EJERCITO C11 ,-12.101383,-77.059862,Luis Castro,4,1,Si,2.80,1.50,Si,Si,1,,,
2558277,Tambo Bayovar - Ave. Wiesse 4267,-11.959466,-76.987376,Moises Monroy,3,1,Si,2.80,1.50,Si,Si,1,,,
2558225,Tambo Colonial C49,-12.052865,-77.093531,Heidy Ovalles,3,2,Si,2.80,1.50,Si,1 items,1,,,
2557664,"Tambo Atento - Lote 3, seccion",-12.056850,"-76.96333,",Moises Monroy,3,2,2.80,1.50,Si,1 items,1,,,,
2557660,Tambo Mendiola - Ave. Alfredo Mendiola,-11.989264,-77.064751,Heidy Ovalles,5,3,2.80,1.50,Si,1 items,1,,,,
2557634,Tambo Arica C5 - Ave. ARICA NRO. 533,-12.058819,-77.046461,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,2,,,
2557595,Tambo Celima - Ave. Constructores Nro 107,-12.067525,-76.958266,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2557594,Tambo Iglesias - Ave. Alejandro Iglesias,-12.168248,-77.025315,Luis Castro,5,1,Si,280,150,Si,Si,1,,,
2557589,Tambo Bolivia - Ave. Bolivia 1186,-12.056939,-77.051359,Elena Gabriel,6,2,Si,280,150,Si,2 items,1,,,
2557578,Tambo Palmeras - Ave. Las Palmeras,-11.990298,-77.071702,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2557476,TAMBO HUAYLAS C7 ,-12.171613,-77.022079,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2557451,tambo mayolo c9,-11.994268,-77.073175,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2557409,Tambo Fontana - 0,-12.073297,-76.955002,Moises Monroy,5,2,Si,2.80,1.50,Si,1 items,1,,,
2557394,Tambo Venezuela c11,-12.055383,-77.051108,Elena Gabriel,5,2,Si,2.80,1.50,Si,1 items,2,,,
2557360,TAMBO HUAYLAS C10,-12.173247,-77.020193,Luis Castro,5,1,2.80,1.50,Si,Si,1,,,,
2557347,Plaza Vea Caminos del Inca - Ave. Caminos del Inca,-12.114366,-76.991048,Deivicson Lugo,0,1.10,,,,,,,,,
2557310,Tambo Toulon - Calle 12 MZA.,-12.073433,-76.952646,Moises Monroy,6,2,Si,Si,2.80,1.50,Si,1 items,1,,
2557300,Tambo Antunez - Ave. Santiago Antunez,-11.995943,-77.080786,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2557260,Plaza Vea Bolichera - Ave. Tomás Marsano 5000,-12.148532,-76.986735,Grecia Ormeño,0.00,1.10,,,,,,,,,
2557247,Tambo Venezuela c9 ,-12.055825,-77.046646,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2557212,Metro Atocongo - Ave. Los Héroes,-12.149583,-76.980547,Grecia Ormeño,6,4,Si,Si,2.70,1.40,Si,Si,1,,
2557107,Tambo Uruguay - Ave. Uruguay 400,-12.053819,-77.039841,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2557080,tambo mayolo c19,-11.996291,-77.084194,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2557079,Tambo Villa UPC - Ave. Alameda San,-12.198219,-77.009370,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2557059,Plaza Vea Acho - Jr. Marañon 601-683,-12.041519,-77.021832,Ruben Munoz,0,1.10,,,,,,,,,
2557044,Tambo Tacna - Ave. Tacna Esq.,-12.048095,-77.038891,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2557041,Tambo Villa 1 - Ave.C Maz.N-6 Lote,-12.204091,-77.013698,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2556982,Wong Santiago de Surco 1 - Calle Monte Bello 150,-12.111903,-76.992013,Deivicson Lugo,6,2,Si,2.70,1.40,Si,Si,1,,,
2556969,Tambo Alamdedasur C1 - Ave. ALAMEDA SUR,-12.190210,-77.006334,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2556966,Plaza Vea San Juan de Lurigancho - Urb. Quinta San Fernando,-11.991069,-77.015523,Ruben Munoz,0,1.10,,,,,,,,,
2556881,TAMBO HUAYLAS C1 ,-12.187667,-77.007840,Luis Castro,5,Si,2.80,1.50,Si,Si,1,,,,
2556850,Metro Próceres - Ave. Próceres de la Independecia,-11.975775,-77.002298,Ruben Munoz,6,3,Si,Si,2.70,1.40,Si,Si,1,,
2556812,Tambo Tacna c3,-12.044609,-77.036256,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,4,,,
2556808,Metro Shell - Calle Shell No 250,-12.122317,-77.029525,Liz Garcia,6,1,Si,Si,2.70,1.40,Si,Si,1,,
2556802,tambo universitaria c 19,-12.006094,-77.082522,Heidy Ovalles,tambo universitaria c 19,6,1,Si,2.80,1.50,Si,1 items,1,,
2556781,Tambo La Curva - Ave. GUARDIA CIVIL,-12.184692,-77.007203,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2556753,Plaza Vea Próceres - Ave.enida Próceres de la Independecia,-11.952103,-76.987910,Ruben Munoz,0,1.10,,,,,,,,,
2556724,tambo 12 d octubre,-12.009370,-77.087899,Heidy Ovalles,tambo 12 d octubre,6,2,Si,2.80,1.50,Si,1 items,1,,
2556649,Metro Arenales - Ave. General Arenales,-12.080985,-77.035037,Paola Caldera,6,2,Si,Si,2.70,1.40,Si,Si,,,
2556630,Metro San Juan de Lurigancho - Ave. Próceres de la Independecia,-12.007073,-77.003686,Ruben Munoz,6,2,Si,2.70,1.4,Si,Si,1,,,
2556616,Tambo Camana - Jr. Camaná 596,-12.047422,-77.034077,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,2,quiebre total,,
2556615,Tambo G Civil - Ave. GUARDIA CIVIL,-12.174615,-76.993758,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2556609,corporación Vega año nuevo ,-11.924058,-77.040470,Moises Monroy,corporación Vega año nuevo ,5,4,Si,Si,2.40,1.30,Si,Si,Si,2
2556570,tambo A.gamarra,-12.006001,-77.072018,Heidy Ovalles,tambo A.gamarra,6,2,Si,2.80,1.50,Si,1 items,1,,
2556557,Tambo El Sol Chorrillos - Ave. El sol,-12.176927,-76.997858,Luis Castro,6,2,Si,280,150,Si,Si,1,,,
2556527,Plaza Vea el Agustino,-12.033656,-76.997823,Ruben Munoz,Plaza Vea el Agustino,3,Si,0,1.10,Si,Si,1,,,
2556488,Tambo Ucayali - Jr. Ucayali 320/326,-12.048592,-77.029858,Elena Gabriel,5,3,Si,2.80,1.50,Si,2 items,1,,,
2556455,Tambo Beta - Lote 1 MZ,-12.010804,-77.070284,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2556434,Metro El Agustino - Jr. Ancash Mz,-12.040489,-77.001332,Ruben Munoz,6,4,Si,Si,2.70,1.40,Si,Si,1,,
2556386,TAMBO PUMA C1 ,-12.176857,-77.011443,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2556379,corporación Vega belaunde,-11.939965,"-77.05108,",Moises Monroy,corporación Vega belaunde,5,3,Si,Si,2.40,1.30,Si,Si,Si,1
2556370,tambo mendiola c 20,"-12.00609,","-77.06212,",Heidy Ovalles,tambo mendiola c 20,6,1,Si,2.80,1.50,Si,1 items,1,,
2556353,Tambo Jrcallao - Jiron Callao N°115-125,-12.045958,-77.031658,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2556295,Tambo Matellini - Ave. Matellini 153,-12.178725,-77.009857,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2555604,Tambo Schell - Ave. Schell N°,-12.123163,-77.028544,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2555574,tambo escardo,-12.073846,-77.091520,Heidy Ovalles,tambo escardo,6,2,Si,2.80,1.50,Si,1 items,1,,
2555566,Tambo La Paz - Ave. Ernesto Diez,-12.122161,-77.026863,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2555514,TAMBO ESPERANZA C2 ,-12.120816,-77.027541,Luis Castro,TAMBO ESPERANZA C2 ,6,2,Si,2.80,1.50,Si,1 items,1,,
2555371,Tambo Petit C54 - Ave. Petit Thouars,-12.116922,-77.027815,Luis Castro,5,Si,280,150,Si,Si,1,,,,
2555362,tambo marina c 32,-12.074813,-77.099675,Heidy Ovalles,tambo marina c 32,6,1,Si,2.80,1.50,Si,1 items,1,,
2555298,Tambo La Marina C29 - Ave. La Marina,-12.063096,-77.078571,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2555202,Tambo Angamos 3 - Ave. Angamos Este,-12.113696,-77.027397,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2555186,Tambo La Marina - Ave. La Marina,-12.077873,"-77.09231,",Heidy Ovalles,5,3,Si,2.80,1.50,Si,1 items,1,,,
2555170,Plaza Vea Jockey - Ave. Javier Prado Este,-12.084763,-76.976594,Deivicson Lugo,4,Si,0,1.10,Si,Si,1,,,,
2555162,Plaza Vea Santa Clara - Fundo la Estrella 99B,-12.016044,-76.886140,Ruben Munoz,1,Si,0,1.10,Si,Si,1,,,,
2555119,Metro Sants Clara,-12.016402,-76.888887,Ruben Munoz,Metro Sants Clara,7,4,Si,Si,2.70,1.40,Si,Si,1,
2555099,TAMBO Republicana c47,-12.113050,-77.026120,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2555077,Tambo Angamos 2 - Ave. Angamos 401,-12.113834,-77.032589,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2555071,Metro San Felipe - C.C. San Felipe,-12.086430,-77.054107,Paola Caldera,6,3,Si,Si,2.70,1.40,Si,Si,,,
2555021,Plaza Vea Ceres - Carretera Central Km. 6,-12.032079,-76.925944,Ruben Munoz,4,Si,0,1.10,Si,Si,1,,,,
2554964,Plaza Vea Puruchuco,-12.040029,-76.931671,Ruben Munoz,Plaza Vea Puruchuco,2,Si,0,1.10,Si,Si,1,,,
2554957,Tambo Pqleyendas - Ave. PARQUE DE,-12.063096,-77.078571,Heidy Ovalles,5,1,Si,2.80,1.50,Si,1 items,1,,,
2554951,Tambo Espinar - Ave.enida Comandante Espinar,-12.116439,-77.036856,Luis Castro,5,1,Si,2.80,1.50,Si,Si,1,,,
2554905,Metro Puruchuco - Ave. Nicolás Ayllón,-12.041521,-76.935939,Ruben Munoz,7,4,Si,Si,2.70,1.40,Si,Si,Si,Si,1
2554841,tambo marina c22,-12.077755,-77.085443,Heidy Ovalles,tambo marina c22,6,3,Si,2.80,1.50,Si,1 items,1,,
2554762,Tambo Mendiburu - Jr. Mendiburu 1136,-12.110680,-77.049227,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2554761,Plaza Vea Ate - Ave. Nicolas Ayllon,-12.054702,-76.962818,Ruben Munoz,1,0,1.10,Si,Si,1,,,,,
2554729,Tambo Marina c16,-12.078415,-77.079476,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2554627,Tambo ejército c8,-12.113844,-77.048538,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2554535,Tambo U. Catolica,-12.069500,-77.077628,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2554506,Tambo Ejercito C3 - Calle JOSE DE,-12.117462,-77.045327,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2554464,Tambo Cornejo - Ave. Mariano Cornejo,-12.067859,-77.073785,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2554399,Tambo Universitaria - Ave. Universitaria 2055,-12.063537,-77.078485,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2553704,Tambo Habich c5 - CL.Eduardo Habich Mza.B,-12.027346,-77.055923,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,3,,,
2553662,Tambo Habich - Ave. Eduardo De,-12.024520,-77.051777,Elena Gabriel,5,3,Si,2.80,1.50,Si,2 items,3,,,
2553643,Metro La Marina - Ave. La Marina,-12.077192,-77.088283,Paola Caldera,5,2,Si,2.70,1.40,Si,Si,Si,,,
2553630,Tambo Unger - Ave. Gerardo Unger,"-12.02307,",-77.050336,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,1,,,
2553613,Tambo Marabu - Pasaje Marabu N°,-12.053832,-76.964682,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2553592,Tambo Unger c7 - Ave. GERARDO UNGER,-12.018334,-77.051497,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,1,,,
2553543,TAMBO ARAMBURU C9 ,-12.102284,-77.021069,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2553533,Plaza Vea Alfonso Ugarte - Ave. Alfonso Ugarte,-12.054234,-77.041830,Pedro Pozo ,3,Si,0,1.10,1 items,Si,,,,,
2553477,Tambo C Moreyra C3 - Ave. CANAVAL Y,-12.097148,-77.022864,Luis Castro,5,2,Si,280,150,Si,1 items,1,,,
2553446,Tambo Calandrias - Jirón Las Calandrias,-12.045978,-76.967602,Moises Monroy,6,3,Si,2.80,1.50,Si,2 items,1,,,
2553426,Wong San Borja - Calle Ucello 162,-12.089908,-77.005499,Ruben Munoz,5,4,Si,Si,2.70,1.40,Si,Si,Si,1,
2553415,TAMBO C MOREYRA C1 ,-12.095806,-77.024254,Luis Castro,5,3,Si,280,150,Si,2 items,1,,,
2553392,Plaza Vea Salamnca - Ave. Circunvalación 2769,-12.080383,-76.986076,Pedro Pozo ,1,0,1.10,1 items,Si,,,,,,
2553355,Tambo Ruiseñores - MZA.A Lote.1 URB.,-12.043174,"-76.97017,",Moises Monroy,6,3,Si,2.80,1.50,Si,2 items,1,,,
2553289,Tambo Plaza Norte - Ave. Túpac Amaru,-12.007517,-77.053672,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,1,,,
2553280,Tambo Vallejo C4 - Ave. CESAR VALLEJO,-12.044157,-76.978674,Moises Monroy,6,3,Si,2.80,1.50,Si,2 items,1,,,
2553252,Tambo Republica C5 - Ave. PASEO DE,-12.095835,-77.024136,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2553194,Plaza Vea Super Valle Hermoso - Ave. Jacarandá 890,-12.127095,-76.975137,Pedro Pozo ,4,Si,0,1.10,1 items,Si,,,,,
2553183,Tambo Violeta C2,-12.005749,-77.053564,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,2,,,
2553166,Tambo Eucalipto ,-12.045191,-76.974276,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,Si,1,,
2553125,Tambo Aramburu 2 - Ave. Andres Aramburú,-12.102875,-77.028596,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2553095,Tambo los Pinos,-11.998012,-77.054727,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,1,,,
2553020,Tambo Aramburu - Ave. Aramburu 718,-12.102811,-77.023161,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2552991,Tambo Pacifico - Ave. El Pacífico,-11.996241,-77.062108,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,1,,,
2552987,Plaza Vea San Borja - Calle Morelli cuadra,-12.091049,-77.003726,Deivicson Lugo,4,Si,0,1.10,Si,Si,1,,,,
2552963,Wong Aurora - Calle Arias schereiber,-12.121270,-77.011227,Liz Garcia,6,6,Si,Si,2.70,1.40,Si,Si,1,,
2552952,Tambo Orue - Calle Domingo Orué,-12.107374,-77.022847,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2552914,Wong San Miguel - Esq. Ave. La Marina,-12.077188,-77.080729,Paola Caldera,5,5,Si,Si,2.70,1.40,Si,Si,1,,
2552887,Tambo Negocios - Ave. República de,-12.104190,-77.018854,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2552821,corporación Vega santa clara,-12.018182,-76.883684,Moises Monroy,corporación Vega santa clara,4,1,Si,Si,2.40,1.30,Si,Si,1,
2552713,TAMBO BARRANCO BOULEVARD ,-12.148807,-77.020640,Luis Castro,5,1,Si,280,150,Si,Si,1,,,
2552696,Tambo Carlos Izaguirre - Ave. Carlos Izaguirre,-11.989157,-77.057553,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,3,,,
2552671,Tambo Barranco - Ave.Perez Roca N°103,-12.142325,-77.022101,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2552562,Tambo Alisos - Jr. Gerardo Unger,-11.982808,-77.058793,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,1,,,
2552548,Tambo Utec - Ave. JUAN FANNING NRO. 101,-12.136151,-77.022449,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2552526,Wong Benvaides - Esq. Ave. Benavides,-12.125632,-77.017202,Liz Garcia,6,4,Si,Si,2.70,1.40,Si,Si,1,,
2552478,Tambo Chinchaysuyo - Ave. Chinchaysuyo 101,-11.980048,-77.058658,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2552465,Tambo Barranco 3 - Ave. Bolognesi 938,-12.141706,-77.017889,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2550996,Tambo mi peru,"-11.86966,",-77.127123,Heidy Ovalles,Tambo mi peru,5,2,Si,2.80,1.50,Si,1 items,1,,
2550994,tambo caceres,"-11.86966,",-77.127123,Heidy Ovalles,tambo caceres,6,3,Si,2.80,1.50,Si,1 items,1,,
2550993,Tambo Beltran - Ave. Pedro Beltran 135,-11.874149,-77.126044,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2550946,Tambo condorcanqui,-11.887621,-77.035974,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,6,,,
2550888,Wong La Merced - Ave. Larco 857,-12.131340,-77.031376,Liz Garcia,3,2.70,0,Si,Si,1,,,,,
2550887,Wong Miraflores 4 - Ave. Malecón Bajada,-12.122747,-77.032170,Liz Garcia,6,4,Si,Si,2.70,1.40,Si,Si,1,,
2550886,Metro Shell - Calle Shell No 250,-12.124942,-77.026460,Liz Garcia,5,4,Si,Si,2.70,1.40,Si,Si,1,,
2550811,TAMBO SOLIDARIDAD ,-12.204531,-76.932148,Luis Castro,6,1,Si,2.80,1.50,Si,2 items,1,,,
2550807,Plaza Vea Jockey - Ave. Javier Prado Este,-12.084848,-76.976206,Deivicson Lugo,4,Si,0,1.10,Si,Si,1,,,,
2550773,corporación vega surco ,-12.145602,-76.988424,Moises Monroy,corporación vega surco ,4,1,Si,Si,2.40,1.30,Si,Si,1,
2550738,TAMBO LIMA VES C 10 ,-12.213391,-76.906547,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2550707,corporación vega chorrillos,-12.167874,-77.023646,Moises Monroy,corporación vega chorrillos,5,2,Si,Si,2.40,1.30,Si,Si,1,
2550698,Tambo Limaves - Mz. F12A Lote.,-12.231718,-76.910437,Luis Castro,4,3,Si,280,150,Si,2 items,1,,,
2550627,TAMBO LÌCENCIADOS,-11.877343,-77.128671,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2550619,TAMBO REPÚBLICANA VES ,-12.230861,-76.922945,Luis Castro,5,Si,2.80,1.50,Si,Si,1,,,,
2550610,Tambo Monterosa c2,-12.112077,-76.990571,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,3,,,
2550606,Tambo Ficus - Urb. Ciuidad Satelite De Ventanilla,-11.875613,-77.126171,Heidy Ovalles,5,2,Si,2.80,1.50,Si,1 items,1,,,
2550596,Tambo Monterosa - Calle Monterosa 137,-12.111635,-76.990874,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
2550585,TAMBO PASTOR SEVILLA ,-12.225512,-76.941533,Luis Castro,6,1,Si,2.80,1.00,Si,Si,1,,,
